VIN,RegistrationNumber,VehicleCategoryID,Manufacturer,Model,ManufactureYear,CurrentOdometer,DepotID,OperationalStatus
983AMB3LRXPXCR779,51C-10410,1,Toyota,HiAce,2020,264570,3,Maintenance
TC499S68SUJF80D9A,50C-26759,3,Dongfeng,EC35,2022,163315,3,Maintenance
EU0CZ572WYN01NYV5,43C-97225,1,Hyundai,Solati,2019,247535,2,Assigned
N58WACU49LNZ3UWHP,29C-85083,1,Ford,Transit,2018,309191,1,Available
K154BLTZK4VXHK8B3,30C-88835,2,Hyundai,Mighty EX8,2023,115514,1,Available
K37FANPSMNC0K70VD,50H-61355,5,Scania,R450,2022,76889,3,Available
EZKEH11A0VZ9E8R47,65C-85649,5,Volvo,FMX,2023,89855,4,Available
XPBHTZ8YNZ3Y25YKY,30H-29473,3,VinFast,EC Van,2018,355118,1,Available
VVK13FSYRVDC63G3A,29C-86919,1,Mercedes-Benz,Sprinter,2022,136813,1,Available
6FWFV3EEGFV5B9TMU,65C-96321,2,Mitsubishi Fuso,Canter,2017,519452,4,Available
WZU9MUGD4HGK48WHM,30H-28331,3,Dongfeng,EC35,2017,547934,1,Available
CJRZUC19ZGNY4WPF9,29H-69777,2,Hyundai,Mighty EX8,2019,350333,1,Available
LC72E3KD9H82EU5W3,50H-18645,1,Ford,Transit,2019,319321,3,Available
L1F3Z3V6PWJZ0YEVJ,50C-32380,1,Hyundai,Solati,2022,149621,3,Maintenance
93TKR863L58PLCC18,51C-67535,2,Isuzu,NQR,2022,124820,3,Available
TZZUEAG4ARUM9Y798,51C-72869,1,Mercedes-Benz,Sprinter,2023,51401,3,Available
NEMBTF9MZ455KSJAX,43C-19846,1,Toyota,HiAce,2022,170101,2,Available
MXLMA6GMDTCTFETFY,65H-17536,3,Wuling,Cargo EV,2021,109287,4,Available
4FMRM5GGBP16FGSYJ,29H-96019,1,Mercedes-Benz,Sprinter,2024,42660,1,Available
83EMAZB4RWASKCRX1,65C-24382,2,Isuzu,NQR,2020,244825,4,Available
030TF9WXHEB97RXDB,30C-72114,1,Hyundai,Solati,2025,13105,1,Available
RBDM80J6FAYLKKXRJ,51C-76828,1,Toyota,HiAce,2019,291693,3,Available
1M2UNYGN6E1DW7YG0,29H-57260,1,Ford,Transit,2022,170986,1,Maintenance
EP0624VMNXDRSU83F,43C-15742,1,Hyundai,Solati,2020,264308,2,Available
Z59F1N2PJGFHZ63S0,29H-74884,3,Wuling,Cargo EV,2017,481876,1,Available
HBE67J3YJ4UAMWNC0,29C-79935,1,Hyundai,Solati,2022,92427,1,Available
1KJAY57W0Z8JXWGRL,43H-38741,5,Hino,700 Series,2020,155011,2,Available
6DFG5GT1YAFFPXCCJ,65H-29442,2,Mitsubishi Fuso,Canter,2018,280744,4,Maintenance
NDA47E2J7W3A3U45C,29C-59528,3,Wuling,Cargo EV,2018,416724,1,Available
UJUABUD6PAHHNMK7Z,65C-17323,5,Scania,R450,2020,265542,4,Available
MXD776WFUWZEZK3MD,65C-46937,5,Hyundai,Xcient,2018,248871,4,Maintenance
N02SCW8KC9GNLPZP3,65H-29369,5,Volvo,FMX,2023,69482,4,Available
UHC0U23HCMG5MSED7,51H-79792,4,Toyota,Hilux,2020,284005,3,Available
4BE80NA8N0YC45ANC,51C-37621,4,Toyota,Hilux,2020,177785,3,Available
PM2ZKF6B1TA4Z5V47,65H-71628,2,Isuzu,NQR,2023,111573,4,Available
PBN49WCZSYPNBNPJD,43C-37769,5,Scania,R450,2019,204100,2,Available
W1LVYBJ9VV3BL8AMK,43C-37775,5,Scania,R450,2020,281968,2,Available
D3EWNW5KFS6D063Y2,51H-76005,1,Hyundai,Solati,2025,8190,3,Available
MM5R62NGXCFXT3E5V,43H-27196,3,Wuling,Cargo EV,2022,138588,2,OutOfService
KMCF2JSJ5YEEVB5P5,30C-18934,5,Volvo,FMX,2021,144490,1,Maintenance
B9B30VFDNV5H5ZMSU,43H-99463,1,Hyundai,Solati,2020,248316,2,Assigned
LL9T0SKBFSYLBWN7M,30C-62628,1,Ford,Transit,2024,51014,1,Available
FEKC5RPH6GB6R8KG8,30H-93320,2,Hino,500 Series,2025,18858,1,Available
2WCZXL9711LESE5D9,65C-83519,2,Mitsubishi Fuso,Canter,2020,289505,4,Available
H9PVFNM89WA3A6T50,30C-14782,2,Mitsubishi Fuso,Canter,2024,33239,1,Available
SNVFRKYZX076DC4CA,51C-33044,2,Hyundai,Mighty EX8,2023,105816,3,Maintenance
G2VD58M3S6Y2P82TJ,50H-65134,1,Ford,Transit,2022,135976,3,Available
A34U1LFVRVNXNB7R7,65C-12035,1,Mercedes-Benz,Sprinter,2022,70544,4,Available
TX24XJV8GDRXWA07C,43C-26558,5,Mercedes-Benz,Actros,2021,214662,2,Available
YHG403NJBCEA95D7E,30C-41420,5,Hyundai,Xcient,2022,171920,1,Available
TAC8CZNL63FAFVXB9,29H-23195,1,Ford,Transit,2021,194738,1,OutOfService
XUU2HN6AECZEKGD0Y,51C-35276,2,Hino,500 Series,2018,414431,3,Available
8D3WFG0RRWJLDNGM6,43C-46842,4,Ford,Ranger,2024,41390,2,Assigned
D3RGJHNELAZ0HVLHC,65H-13924,1,Hyundai,Solati,2022,108466,4,Available
3GBTBKDRWWHAA2WAS,30H-51652,1,Hyundai,Solati,2023,59807,1,Available
S4PKLMC2TBK9TY747,30C-19103,3,Wuling,Cargo EV,2024,27563,1,Available
C033UAZB6BBLJZ3N0,51C-32307,1,Toyota,HiAce,2018,304635,3,Maintenance
UWY9L1HJKCV5Y1GC9,30C-78388,2,Hyundai,Mighty EX8,2024,52085,1,Available
2TL80Y4DE7NRXGPCP,30C-87401,1,Mercedes-Benz,Sprinter,2019,207403,1,Available
6GAYRJ7CRETTBJDY1,43C-12174,3,VinFast,EC Van,2018,248094,2,Available
BJDD6VHUK60PNH4ZT,43C-99281,1,Hyundai,Solati,2021,229398,2,Available
5ZFZFLS8YRA96F2AM,50H-50019,1,Hyundai,Solati,2023,62352,3,Available
T12D3MTMVYJS4KMUY,65C-78848,1,Mercedes-Benz,Sprinter,2018,224558,4,Maintenance
5YETJ19M1G8Y85Z6R,43C-63781,4,Ford,Ranger,2022,165448,2,OutOfService
GW04E3V3MDA7EZUKV,43H-50543,2,Hyundai,Mighty EX8,2024,50626,2,Available
ETAM4BE52T8V80E1R,29H-87735,2,Hyundai,Mighty EX8,2016,441471,1,Maintenance
8DJKLVZLWZGEVKCVX,30H-62312,1,Hyundai,Solati,2019,357864,1,Available
70SRPPAV8P1XKJTEU,65H-76036,1,Mercedes-Benz,Sprinter,2017,438037,4,Available
SBB4YMDKSLC1Z1BGE,50H-77896,1,Mercedes-Benz,Sprinter,2018,395657,3,Assigned
ZDAWDDGS4RBEP944V,43H-91744,2,Isuzu,NQR,2020,221498,2,Assigned
4YF1VSKZ8TZN0DPRA,65C-28571,5,Hino,700 Series,2018,258337,4,Available
S0K9M5TM0NCYM0M02,29H-28258,2,Hyundai,Mighty EX8,2016,653035,1,Available
WF0TYJ0WWW4CA1HYT,43H-71833,5,Hyundai,Xcient,2017,520024,2,Available
CJB1RNXAFDREYVGTZ,30H-18437,1,Toyota,HiAce,2018,265612,1,Available
8DBEA2V5MZ81UGG4T,43C-92459,5,Hino,700 Series,2023,75204,2,Available
2KDHWLH87J0C58CV5,65C-26671,4,Toyota,Hilux,2021,198597,4,Maintenance
AMJM2EV17Y5HC8602,51H-95620,2,Hino,500 Series,2021,129065,3,Available
0DTHMS25H7A2GXNZA,65C-45456,3,Wuling,Cargo EV,2023,60563,4,Available
DX6MM7HDAP13UB35J,43C-67403,1,Toyota,HiAce,2021,211891,2,Available
XSECJUT1M7H082KYU,43H-27002,1,Hyundai,Solati,2017,391663,2,Available
GE9H1GN3E90YRDTBK,51H-20282,5,Volvo,FMX,2020,247697,3,Available
NBGGRBLUMAX6763W1,30C-60146,4,Ford,Ranger,2024,50161,1,Available
K9UP02J8S9H6KZK92,43H-98862,4,Ford,Ranger,2023,57486,2,Available
VLJFSRS8S4HB7KXLC,29C-50225,2,Hyundai,Mighty EX8,2020,205670,1,Available
YHYGTRLVH899A45UB,29C-90995,5,Hyundai,Xcient,2018,385239,1,Available
N4PY5EL3MPYS9XFB7,43H-84758,1,Ford,Transit,2021,162122,2,Maintenance
4B0N9CC7HTVVP14UB,51C-59655,1,Hyundai,Solati,2021,233216,3,Available
J2MS1DH16MMT7YWRP,51C-53081,2,Hyundai,Mighty EX8,2019,330796,3,Available
MDPTET6GFRFP20SD5,29H-47602,4,Isuzu,D-Max,2019,286854,1,Assigned
EZHKM4MXD0C787X1R,30H-56447,1,Ford,Transit,2018,358755,1,Assigned
WNYNRTW8DKMV6W4RL,50C-11020,5,Hino,700 Series,2024,58382,3,Available
KDKR6K7917YEG41A6,30C-55527,1,Toyota,HiAce,2021,172943,1,OutOfService
8V1U4KD04RRJ591DM,65C-46941,2,Hino,500 Series,2021,106757,4,Available
1ZCZ6BD0UGV4X8XJW,51H-92657,5,Mercedes-Benz,Actros,2018,307906,3,Maintenance
G5851ACVGFPJNWYSY,30H-27274,1,Mercedes-Benz,Sprinter,2018,269048,1,Available
SDD61K8LYDSLDZ02S,30H-81226,1,Hyundai,Solati,2022,134254,1,Assigned
VLZP3RJBTHXBRH5U2,50H-17969,2,Isuzu,NQR,2016,560469,3,Available
2LM2CBGU94P0KFNPV,50H-21829,3,VinFast,EC Van,2022,72610,3,Available
KH2JJE2YE1JCC02PA,50C-47105,1,Ford,Transit,2021,227113,3,Assigned
TAKGJYSKD8VS6UJAT,43H-65725,2,Mitsubishi Fuso,Canter,2019,338778,2,Available
NVYL39DF5TJEXS0VH,43C-68600,1,Ford,Transit,2021,106525,2,Assigned
JGVTT8HSSV117RCEA,30H-10730,1,Hyundai,Solati,2023,54785,1,Available
3T1VPKRK7ZUXNYEUG,30C-92072,1,Ford,Transit,2016,642393,1,Available
U4APEC9LGZULCSFMV,51C-31527,5,Mercedes-Benz,Actros,2021,155212,3,Available
27VYGWDHFVEUYNV5W,65H-91854,2,Hyundai,Mighty EX8,2020,251716,4,OutOfService
7XESAC9E3RSK2HN20,50C-21971,5,Hyundai,Xcient,2019,180700,3,Available
4VT3ZVRMANSZ1HV98,43H-28728,4,Toyota,Hilux,2024,39018,2,Available
LDNJ7XBKSBZJX9457,50C-86832,1,Ford,Transit,2019,274631,3,OutOfService
X00F5C4DR0L5K5Y1L,50H-13779,2,Mitsubishi Fuso,Canter,2023,63616,3,Available
4ZC4T1CRKGTF14AKM,65H-64575,4,Toyota,Hilux,2024,49002,4,Available
GW823HNC0J4Y6G1EB,65C-21326,2,Mitsubishi Fuso,Canter,2017,540651,4,Assigned
9JRDMM2U4ZF8WFV9R,30C-33214,1,Hyundai,Solati,2021,149347,1,Available
2JSBDYGEWNNWB0X5A,30C-77275,5,Mercedes-Benz,Actros,2022,136029,1,Available
V1RXWZ1SJ0WSPB7H7,51C-71189,1,Ford,Transit,2019,273848,3,Maintenance
FKW0U8VEY3BC3EMPS,43C-77135,1,Hyundai,Solati,2025,18131,2,Available
0FV2AFDVPHSNSJ7NL,29H-21818,1,Hyundai,Solati,2017,361914,1,Maintenance
T1WHX2NM4X17YEGGR,30C-55464,1,Hyundai,Solati,2023,105652,1,Available
FPUD3M1YP3FETZAYZ,43H-65277,5,Mercedes-Benz,Actros,2020,266000,2,Available
049DFP25CA80JTX5R,43H-72068,1,Ford,Transit,2022,175174,2,Available
MK4UFMALXWMB1JCD0,65H-65797,1,Mercedes-Benz,Sprinter,2020,297110,4,Available
LBX03DT0MYKPG101C,30C-20031,1,Mercedes-Benz,Sprinter,2022,101994,1,Maintenance
VH7KZGTBPFKAG2YKS,50C-59051,3,Wuling,Cargo EV,2019,259482,3,Assigned
K04WXLN7AMMRS1G0Z,29C-90135,2,Isuzu,NQR,2016,590188,1,Available
1UL1RSFWXVP21K19N,65C-37204,1,Ford,Transit,2022,143574,4,Available
K5299VMH6K2XYZXXT,65C-84808,1,Ford,Transit,2017,357227,4,Available
KUMSF6NY9PYXEX9W1,43C-62435,1,Mercedes-Benz,Sprinter,2020,257822,2,Maintenance
TG7S0HS0GECBWSZRH,29H-82359,1,Mercedes-Benz,Sprinter,2022,118535,1,Available
ABZ595CPJ0D2YUAS0,50H-19154,2,Hyundai,Mighty EX8,2024,35437,3,Available
D42W30NYEJSJLZS01,51H-26260,1,Ford,Transit,2020,274102,3,Assigned
EKHNMK8FXSRK1ZEKN,51C-28352,1,Hyundai,Solati,2023,83806,3,Available
19PXFMF5LN5TFUF6A,30H-76662,1,Hyundai,Solati,2018,223163,1,Maintenance
TVYA14261MBX8TJ84,29C-56727,1,Toyota,HiAce,2018,379551,1,Available
ZYJZSBXVDG4C6UCHW,50H-33944,1,Mercedes-Benz,Sprinter,2022,102502,3,Available
RSDWWKAR60RYWX19J,50H-25257,2,Hino,500 Series,2020,159150,3,Available
5JKVLR98TL9SFCRL7,51H-44629,1,Hyundai,Solati,2021,234794,3,Available
TLUDKXVFF225XF89Y,50C-50265,2,Isuzu,NQR,2019,208498,3,Assigned
MM1RRNP2P8M392A0G,30C-50138,5,Mercedes-Benz,Actros,2021,179591,1,Assigned
XRKCF08W882N80J9W,43C-38177,1,Hyundai,Solati,2021,200245,2,Available
6C9145WVVRLVYV3ZE,29H-27600,1,Hyundai,Solati,2021,174510,1,Assigned
LHMG9JW7EYR334B9N,51C-34135,4,Isuzu,D-Max,2020,234694,3,Available
CCDVDFT5VSYGCZ3S6,65H-93148,3,Dongfeng,EC35,2023,114488,4,OutOfService
PKXNALE5W2UYG4760,30H-12815,1,Toyota,HiAce,2022,114539,1,Available
MC57YGF9H72A58E8A,29C-80788,1,Hyundai,Solati,2019,186874,1,Maintenance
WE8TWUFG81M9PGCTS,29C-59873,4,Toyota,Hilux,2021,204642,1,Available
84R4K9CYNS8KYLEJV,29H-57237,3,Dongfeng,EC35,2023,102469,1,Available
X4PFUE3ZN72AGPN4X,50H-58719,1,Ford,Transit,2017,510339,3,Available
NWUFA6D9DS95UEWYL,30C-80710,1,Mercedes-Benz,Sprinter,2016,495676,1,Available
GHE8HCDP6DHGYL9ZU,30H-84873,3,Wuling,Cargo EV,2021,125270,1,Available
X39AX4HPAS5G59P9R,50C-60466,4,Toyota,Hilux,2020,238243,3,Available
2SD52J2RAUD94D0EM,51H-73878,1,Hyundai,Solati,2020,188842,3,Available
HA1MWF5U3MH8UNDFX,65C-99204,2,Isuzu,NQR,2020,273930,4,Available
88K696SE7AJVL7X8B,50H-16411,4,Toyota,Hilux,2021,211153,3,Available
G4C8K6E18FRZ2ADLD,51H-87518,1,Toyota,HiAce,2020,181797,3,Available
58B4JXRF05TKUC185,65C-54744,2,Hyundai,Mighty EX8,2023,109554,4,Available
416YLZJMA0TWHRJ94,43C-46726,4,Isuzu,D-Max,2025,18817,2,Available
8HW0W30BYRS5BP31R,50C-25397,2,Mitsubishi Fuso,Canter,2017,328258,3,Maintenance
5J4M9JRBS9J3G2VLP,30C-69850,1,Hyundai,Solati,2017,541348,1,Available
D0YLTGNJ0M3618LDW,65H-50086,4,Toyota,Hilux,2020,281095,4,Maintenance
CW5PJ0UP7D836KVC9,50C-22237,5,Hino,700 Series,2021,204325,3,Available
R3EK85SRV9GGUPV6N,43C-39600,1,Hyundai,Solati,2016,537686,2,Available
M8E59JUE92TSL3W00,43H-80827,5,Mercedes-Benz,Actros,2021,195555,2,Available
WC9ARY6S0CM8KJ6AW,65H-75160,2,Mitsubishi Fuso,Canter,2019,193946,4,Available
H3TP29W59B1W2CCPF,30H-53323,5,Hyundai,Xcient,2019,298518,1,Available
C8V8NPZEMDM06TGPH,51C-53488,3,VinFast,EC Van,2023,53864,3,OutOfService
NF8UANA6V58GXFHM5,50C-99484,2,Hino,500 Series,2021,105347,3,Maintenance
BBU883LKMFU6TW977,50C-68340,2,Mitsubishi Fuso,Canter,2022,171185,3,Maintenance
E8T3BB9S4Y1W4DY7V,51C-57932,2,Mitsubishi Fuso,Canter,2024,29290,3,Assigned
8RRCADVXL9220UB8L,65C-48398,2,Isuzu,NQR,2020,175514,4,Available
NMU4ZRT5TZBHSGHL0,43C-49707,3,Wuling,Cargo EV,2020,152571,2,Available
6Y7LFNH7PFWXJ7Z06,50H-10621,2,Hino,500 Series,2024,38502,3,Available
K63TWXPZRYHYD6TGL,51H-59431,3,Dongfeng,EC35,2021,102681,3,Maintenance
2P6GC4GUBSDBNCZCR,51H-24220,1,Mercedes-Benz,Sprinter,2020,215088,3,Available
BAF5JFS6BN8THXM0A,43C-51670,5,Volvo,FMX,2022,136010,2,Available
ZPUXF7NEDHNV32DHX,51C-24596,4,Ford,Ranger,2022,88790,3,Available
7HTJ9YS6R6HK18NJF,51H-68939,1,Mercedes-Benz,Sprinter,2024,50300,3,Assigned
M8PP1RNMLP0GHGG5Y,30C-92116,1,Ford,Transit,2021,159502,1,Available
SUR685PGM6Y7R8AGV,43H-28524,3,Dongfeng,EC35,2020,220451,2,Available
LJ12TX2UXBDCA75LC,50C-63908,3,VinFast,EC Van,2022,145375,3,Maintenance
6RMFL3F6FD7PVX0K4,51H-86473,1,Toyota,HiAce,2020,157307,3,Available
NFAZ37WG698V696CE,65H-71972,1,Mercedes-Benz,Sprinter,2017,310322,4,Available
W3A6PF5GKU7T6BHLR,30C-56492,1,Toyota,HiAce,2025,15508,1,Available
AVKGSNZJNNT9R0EMJ,50C-91811,1,Mercedes-Benz,Sprinter,2022,113636,3,Available
33DCNF325AA35XFX5,30C-13015,1,Mercedes-Benz,Sprinter,2024,30557,1,Available
G0DRZG0NXG30T0S1W,50C-20637,4,Toyota,Hilux,2022,77361,3,Maintenance
VGE2G51HP4KPYHJMH,43C-81040,1,Ford,Transit,2018,271831,2,Available
M1X3C20A1CW7MZZCJ,50C-74739,4,Ford,Ranger,2023,58474,3,Assigned
9GWBMSS749S6RE1PA,65H-81554,2,Mitsubishi Fuso,Canter,2020,218707,4,Available
WGDNEMANL8VHT0R8F,65C-29796,1,Toyota,HiAce,2020,143656,4,OutOfService
UTHT8XMLXXWUMNZEV,65C-40821,1,Ford,Transit,2025,20620,4,Available
792VWLGELX9HWH4TS,43H-93082,1,Toyota,HiAce,2019,265511,2,Available
681CNG20N2SHAMXV2,30H-88983,2,Isuzu,NQR,2022,80657,1,OutOfService
1G3K3P4AJEAY2CS7E,50H-17938,2,Isuzu,NQR,2023,74667,3,Available
0RFE8E5VNL0VXYPL4,51H-35923,2,Hyundai,Mighty EX8,2018,291710,3,Available
7EDF0DMMCMCPCP3ZV,50H-18372,1,Ford,Transit,2024,28660,3,Available
4HBHHF5TL1ZA2TZ0V,29C-94266,1,Hyundai,Solati,2019,194814,1,Available
HU71KVTFGXMLJDKAW,43C-62059,2,Mitsubishi Fuso,Canter,2016,462271,2,Available
21KZHWLSYH64HAA45,50C-36233,2,Isuzu,NQR,2018,321568,3,Available
VK95JX65X587LNVFB,29H-72937,3,Dongfeng,EC35,2021,202433,1,Available
6KJ763G71ZB7SACH5,43H-14586,1,Hyundai,Solati,2017,409441,2,Available
PNBRSFA6Y8500GJZ8,43C-18540,2,Mitsubishi Fuso,Canter,2017,481351,2,Available
KCN4UN60ULYPWN92E,51C-16198,5,Volvo,FMX,2024,53530,3,Available
LMS15FBT5XWU4F3E3,50H-28040,4,Ford,Ranger,2020,253170,3,Available
A7YFH0MD13VPYNW1Z,29C-85427,5,Hyundai,Xcient,2024,57858,1,OutOfService
EC8HP4UD3ABDG2CJ8,50C-74907,1,Toyota,HiAce,2023,74684,3,Available
X7XWZ9TMJS312PW68,43H-66167,1,Hyundai,Solati,2020,238281,2,Available
DJ4XDNMWSLV0RXDZW,30H-81268,3,Dongfeng,EC35,2023,61380,1,Available
YBW0T6KFKLDF4GTA2,43H-80210,1,Ford,Transit,2021,221419,2,Assigned
038DFE9WAT3R06NUP,51H-39980,3,VinFast,EC Van,2020,198568,3,Available
TJ7EACGGYVVS9YWDB,51H-62602,1,Ford,Transit,2017,368885,3,Available
YWA6E753GSSDNXU3E,50C-78755,1,Mercedes-Benz,Sprinter,2016,451454,3,Available
