ActivityID,MechanicID,LabourHours,RoleInActivity
448,20,5.42,Inspector
449,3,7.48,Electric Specialist
449,42,0.6,Lead Mechanic
449,44,7.99,Assistant Mechanic
450,27,8.0,Lead Mechanic
450,40,4.33,Lead Mechanic
451,42,4.46,Lead Mechanic
451,15,1.33,Inspector
451,31,3.94,Inspector
452,45,2.41,Assistant Mechanic
452,17,6.31,Assistant Mechanic
453,26,1.5,Lead Mechanic
453,31,4.72,Inspector
454,6,0.56,Inspector
455,44,3.52,Assistant Mechanic
455,9,1.03,Inspector
456,6,6.54,Assistant Mechanic
456,20,5.6,Lead Mechanic
457,1,4.5,Electric Specialist
458,27,2.81,Electric Specialist
458,20,7.22,Assistant Mechanic
458,7,1.7,Inspector
459,28,7.73,Assistant Mechanic
459,38,1.09,Inspector
460,15,4.52,Lead Mechanic
460,23,5.92,Electric Specialist
460,19,2.01,Electric Specialist
461,46,4.93,Lead Mechanic
461,5,2.28,Electric Specialist
462,16,1.23,Assistant Mechanic
462,6,6.64,Inspector
463,13,2.89,Assistant Mechanic
463,30,2.06,Inspector
463,43,1.36,Inspector
464,5,4.81,Lead Mechanic
464,41,5.48,Electric Specialist
464,19,2.49,Electric Specialist
465,9,4.91,Lead Mechanic
465,15,1.28,Assistant Mechanic
466,4,3.79,Lead Mechanic
467,43,7.4,Inspector
467,37,4.52,Electric Specialist
468,17,1.58,Assistant Mechanic
469,29,4.95,Electric Specialist
469,30,4.09,Assistant Mechanic
469,27,1.48,Inspector
470,38,3.37,Electric Specialist
470,26,6.39,Assistant Mechanic
471,41,7.65,Electric Specialist
471,31,6.79,Assistant Mechanic
471,14,4.62,Inspector
472,8,1.37,Electric Specialist
472,10,1.85,Electric Specialist
473,25,6.26,Assistant Mechanic
473,34,4.08,Inspector
473,41,1.77,Lead Mechanic
474,17,4.57,Inspector
474,11,2.68,Lead Mechanic
474,26,5.23,Electric Specialist
475,34,7.53,Assistant Mechanic
475,37,7.88,Lead Mechanic
475,22,5.18,Assistant Mechanic
476,3,7.41,Inspector
477,7,4.09,Inspector
478,20,7.68,Inspector
479,17,6.11,Inspector
479,23,2.84,Assistant Mechanic
480,2,5.64,Inspector
480,20,7.98,Lead Mechanic
481,14,3.69,Electric Specialist
481,6,6.26,Inspector
482,32,0.91,Lead Mechanic
483,15,3.8,Lead Mechanic
484,29,6.48,Lead Mechanic
484,18,1.5,Lead Mechanic
485,44,0.66,Lead Mechanic
485,26,5.7,Inspector
486,38,6.14,Lead Mechanic
486,1,5.2,Lead Mechanic
487,33,6.58,Inspector
487,1,1.63,Lead Mechanic
487,29,4.08,Assistant Mechanic
488,36,7.55,Electric Specialist
489,10,6.76,Electric Specialist
489,25,6.31,Electric Specialist
490,15,5.14,Electric Specialist
490,18,7.8,Lead Mechanic
491,21,0.84,Inspector
491,46,6.41,Inspector
491,3,6.19,Lead Mechanic
492,19,3.13,Electric Specialist
492,45,7.22,Assistant Mechanic
492,25,7.69,Assistant Mechanic
493,5,7.66,Inspector
493,39,1.56,Lead Mechanic
494,8,3.64,Lead Mechanic
494,33,5.49,Electric Specialist
495,16,6.1,Electric Specialist
495,45,1.55,Lead Mechanic
495,46,7.99,Electric Specialist
496,35,7.07,Inspector
496,42,3.97,Assistant Mechanic
497,9,5.49,Lead Mechanic
498,38,2.07,Lead Mechanic
498,46,2.21,Lead Mechanic
498,27,2.78,Assistant Mechanic
499,10,5.31,Electric Specialist
499,24,4.75,Inspector
500,42,5.96,Assistant Mechanic
501,22,4.67,Lead Mechanic
502,32,1.74,Inspector
502,45,0.52,Electric Specialist
502,25,3.33,Lead Mechanic
503,3,3.76,Lead Mechanic
504,23,6.45,Lead Mechanic
504,33,4.47,Assistant Mechanic
504,5,5.87,Electric Specialist
505,13,7.93,Lead Mechanic
505,28,2.74,Lead Mechanic
506,5,4.69,Lead Mechanic
506,36,7.71,Electric Specialist
506,31,2.76,Assistant Mechanic
507,42,1.83,Lead Mechanic
507,5,2.64,Electric Specialist
508,34,7.73,Lead Mechanic
509,20,0.98,Assistant Mechanic
510,10,1.11,Assistant Mechanic
511,35,3.91,Lead Mechanic
512,44,3.4,Assistant Mechanic
513,11,3.83,Inspector
513,33,7.6,Assistant Mechanic
513,38,4.01,Electric Specialist
514,28,7.49,Inspector
514,45,5.33,Lead Mechanic
515,38,1.53,Electric Specialist
515,20,1.45,Inspector
515,24,5.07,Inspector
516,1,3.39,Inspector
516,13,5.71,Assistant Mechanic
516,32,7.85,Lead Mechanic
517,33,3.21,Assistant Mechanic
517,17,6.67,Inspector
517,21,2.68,Inspector
518,11,4.32,Lead Mechanic
519,6,6.14,Assistant Mechanic
519,16,1.61,Inspector
520,28,2.08,Assistant Mechanic
520,7,7.46,Assistant Mechanic
520,16,0.58,Electric Specialist
521,41,7.26,Lead Mechanic
522,8,5.53,Assistant Mechanic
523,9,5.72,Electric Specialist
523,14,4.02,Lead Mechanic
524,12,6.06,Inspector
524,8,5.95,Assistant Mechanic
524,14,6.05,Assistant Mechanic
525,8,1.07,Lead Mechanic
526,36,5.98,Electric Specialist
526,14,4.89,Assistant Mechanic
526,43,7.14,Assistant Mechanic
527,39,5.39,Lead Mechanic
528,34,6.54,Lead Mechanic
529,42,7.56,Electric Specialist
529,39,6.66,Lead Mechanic
529,36,1.71,Assistant Mechanic
530,37,7.4,Lead Mechanic
530,27,4.59,Inspector
530,43,2.27,Inspector
531,34,7.88,Assistant Mechanic
531,27,7.12,Inspector
531,12,4.29,Lead Mechanic
532,35,7.93,Electric Specialist
532,34,4.14,Electric Specialist
533,3,4.67,Lead Mechanic
533,30,1.84,Inspector
533,27,3.64,Inspector
534,13,5.42,Electric Specialist
535,33,0.71,Assistant Mechanic
535,18,5.65,Electric Specialist
536,10,4.83,Electric Specialist
537,17,6.47,Assistant Mechanic
537,10,7.45,Inspector
538,38,1.18,Electric Specialist
538,36,3.4,Assistant Mechanic
538,3,6.69,Assistant Mechanic
539,44,3.02,Electric Specialist
539,39,3.18,Electric Specialist
539,7,3.62,Lead Mechanic
540,4,6.76,Inspector
540,16,7.16,Inspector
541,16,3.91,Assistant Mechanic
541,27,5.39,Assistant Mechanic
542,13,2.45,Electric Specialist
542,14,0.94,Lead Mechanic
543,31,3.2,Electric Specialist
544,6,2.69,Electric Specialist
544,46,3.42,Inspector
545,4,5.05,Inspector
545,34,4.03,Lead Mechanic
545,45,4.13,Electric Specialist
546,7,2.43,Lead Mechanic
547,11,5.44,Inspector
548,27,7.41,Inspector
548,1,6.91,Assistant Mechanic
548,25,1.83,Inspector
549,39,5.54,Inspector
550,28,0.64,Inspector
551,33,5.43,Electric Specialist
551,19,5.9,Lead Mechanic
551,35,4.5,Electric Specialist
552,21,6.11,Electric Specialist
552,29,3.52,Assistant Mechanic
553,42,6.47,Lead Mechanic
553,14,5.26,Electric Specialist
554,42,6.4,Assistant Mechanic
555,23,5.75,Lead Mechanic
555,40,3.99,Inspector
556,29,2.11,Inspector
556,17,7.5,Electric Specialist
557,21,3.03,Lead Mechanic
558,45,7.81,Assistant Mechanic
559,13,6.62,Inspector
560,6,7.86,Electric Specialist
561,9,5.75,Electric Specialist
561,44,5.72,Lead Mechanic
561,32,4.26,Inspector
562,17,0.65,Assistant Mechanic
563,8,0.86,Inspector
563,44,6.09,Inspector
564,25,2.06,Assistant Mechanic
565,6,0.84,Inspector
566,31,5.66,Inspector
566,33,3.64,Lead Mechanic
567,19,0.64,Lead Mechanic
567,9,1.18,Electric Specialist
568,33,4.02,Electric Specialist
568,12,2.2,Inspector
569,6,6.35,Lead Mechanic
570,37,6.58,Electric Specialist
570,29,5.92,Lead Mechanic
571,5,7.0,Electric Specialist
571,33,1.1,Inspector
571,45,7.66,Lead Mechanic
572,8,4.92,Assistant Mechanic
573,35,4.0,Assistant Mechanic
573,36,2.53,Inspector
573,9,3.74,Inspector
574,7,6.48,Electric Specialist
574,35,5.28,Assistant Mechanic
575,18,7.74,Electric Specialist
575,31,2.64,Electric Specialist
576,20,6.76,Electric Specialist
577,29,2.48,Electric Specialist
578,13,5.38,Lead Mechanic
578,8,3.82,Assistant Mechanic
578,45,2.36,Electric Specialist
579,33,5.63,Lead Mechanic
579,7,2.99,Inspector
580,15,3.79,Electric Specialist
581,43,7.55,Inspector
581,45,5.59,Inspector
582,22,1.13,Electric Specialist
582,35,2.53,Assistant Mechanic
582,27,2.33,Lead Mechanic
583,16,7.17,Electric Specialist
583,9,3.89,Inspector
584,33,0.78,Lead Mechanic
584,19,2.62,Lead Mechanic
585,44,4.98,Electric Specialist
586,45,3.94,Lead Mechanic
586,34,1.02,Electric Specialist
586,22,5.87,Electric Specialist
587,29,6.67,Assistant Mechanic
587,37,4.2,Assistant Mechanic
587,14,3.41,Lead Mechanic
588,32,4.98,Electric Specialist
588,38,6.02,Assistant Mechanic
588,34,6.6,Electric Specialist
589,37,7.6,Assistant Mechanic
589,33,4.4,Lead Mechanic
589,16,1.31,Assistant Mechanic
590,9,0.54,Assistant Mechanic
590,18,1.11,Inspector
591,10,2.46,Electric Specialist
591,46,4.11,Inspector
591,25,7.45,Electric Specialist
592,13,7.52,Inspector
592,12,0.67,Inspector
592,10,5.37,Electric Specialist
593,34,4.26,Lead Mechanic
593,43,6.14,Inspector
593,19,4.84,Inspector
594,19,0.56,Assistant Mechanic
594,12,4.5,Assistant Mechanic
595,20,6.49,Assistant Mechanic
596,29,6.98,Inspector
596,7,1.94,Lead Mechanic
596,19,6.42,Assistant Mechanic
597,30,2.54,Assistant Mechanic
597,12,4.52,Inspector
597,43,6.7,Electric Specialist
598,27,2.17,Inspector
598,21,2.25,Electric Specialist
598,32,2.86,Lead Mechanic
599,10,0.59,Assistant Mechanic
600,21,6.48,Lead Mechanic
601,25,1.83,Assistant Mechanic
601,1,1.63,Electric Specialist
602,3,5.31,Lead Mechanic
602,15,2.28,Assistant Mechanic
602,11,3.98,Lead Mechanic
603,25,4.53,Lead Mechanic
604,44,7.89,Assistant Mechanic
604,27,4.79,Assistant Mechanic
604,18,4.7,Inspector
605,24,3.79,Assistant Mechanic
605,3,1.81,Lead Mechanic
606,45,5.81,Assistant Mechanic
607,9,5.61,Lead Mechanic
607,20,2.15,Electric Specialist
607,18,6.83,Lead Mechanic
608,24,6.57,Lead Mechanic
608,21,2.6,Assistant Mechanic
608,43,3.56,Lead Mechanic
609,18,3.31,Lead Mechanic
609,7,7.76,Lead Mechanic
610,9,2.66,Assistant Mechanic
610,12,5.53,Assistant Mechanic
610,11,6.09,Inspector
611,5,0.69,Assistant Mechanic
612,13,7.09,Assistant Mechanic
613,8,4.83,Assistant Mechanic
613,14,7.45,Inspector
613,37,7.45,Lead Mechanic
614,12,2.25,Lead Mechanic
614,32,1.79,Lead Mechanic
615,18,3.44,Lead Mechanic
615,40,0.89,Lead Mechanic
615,6,5.0,Inspector
616,44,1.56,Lead Mechanic
617,22,5.08,Inspector
618,12,1.17,Inspector
618,43,7.49,Assistant Mechanic
618,35,5.27,Lead Mechanic
619,42,5.66,Lead Mechanic
619,40,5.19,Electric Specialist
619,20,7.58,Lead Mechanic
620,27,0.66,Lead Mechanic
620,16,4.96,Lead Mechanic
621,23,2.57,Assistant Mechanic
622,8,3.84,Lead Mechanic
622,28,1.09,Inspector
622,45,1.32,Lead Mechanic
623,44,4.41,Lead Mechanic
623,36,3.55,Inspector
624,10,5.19,Lead Mechanic
624,42,5.12,Assistant Mechanic
625,12,1.93,Inspector
625,46,1.59,Assistant Mechanic
625,32,5.07,Assistant Mechanic
626,41,1.45,Inspector
626,45,3.34,Electric Specialist
627,30,1.21,Electric Specialist
627,40,3.84,Lead Mechanic
627,46,7.2,Assistant Mechanic
628,40,6.53,Lead Mechanic
628,20,1.23,Lead Mechanic
629,37,1.48,Assistant Mechanic
629,29,2.36,Assistant Mechanic
630,41,3.91,Lead Mechanic
630,38,3.94,Assistant Mechanic
631,26,4.67,Electric Specialist
632,28,1.87,Lead Mechanic
632,8,5.84,Assistant Mechanic
632,37,6.64,Assistant Mechanic
633,45,0.84,Lead Mechanic
633,23,1.56,Lead Mechanic
633,19,3.71,Electric Specialist
634,43,5.65,Lead Mechanic
634,17,2.89,Electric Specialist
634,21,6.11,Assistant Mechanic
635,22,6.48,Inspector
636,8,3.56,Inspector
636,40,2.99,Assistant Mechanic
636,2,5.8,Lead Mechanic
637,31,3.06,Electric Specialist
637,3,2.76,Electric Specialist
638,7,4.86,Assistant Mechanic
638,31,3.5,Lead Mechanic
638,10,2.85,Assistant Mechanic
639,18,7.66,Inspector
640,13,4.58,Assistant Mechanic
641,40,5.28,Electric Specialist
642,30,1.98,Lead Mechanic
642,33,0.88,Assistant Mechanic
642,42,7.32,Lead Mechanic
643,22,0.82,Inspector
643,45,3.5,Inspector
643,10,5.11,Lead Mechanic
644,17,2.42,Inspector
645,23,6.61,Lead Mechanic
645,28,4.88,Electric Specialist
645,40,6.1,Assistant Mechanic
646,23,7.91,Inspector
646,3,6.14,Inspector
646,17,7.0,Assistant Mechanic
647,2,2.6,Inspector
647,38,2.53,Lead Mechanic
647,24,1.87,Assistant Mechanic
648,7,6.55,Inspector
649,19,1.88,Assistant Mechanic
649,18,1.55,Inspector
649,9,5.5,Electric Specialist
650,10,7.63,Electric Specialist
650,29,6.06,Lead Mechanic
651,40,6.68,Inspector
651,21,0.67,Inspector
652,35,5.55,Inspector
652,42,1.0,Electric Specialist
653,35,4.65,Assistant Mechanic
654,43,7.98,Inspector
654,5,5.9,Assistant Mechanic
654,1,3.11,Assistant Mechanic
655,8,7.03,Inspector
656,11,7.88,Lead Mechanic
656,16,3.76,Electric Specialist
657,24,2.17,Electric Specialist
657,25,7.01,Lead Mechanic
658,44,2.72,Assistant Mechanic
659,21,4.86,Lead Mechanic
660,23,3.47,Inspector
661,30,5.5,Inspector
662,46,4.75,Lead Mechanic
662,26,2.48,Electric Specialist
663,29,5.14,Assistant Mechanic
663,14,5.68,Assistant Mechanic
663,22,5.91,Electric Specialist
664,24,6.16,Electric Specialist
665,45,5.43,Lead Mechanic
665,7,6.56,Electric Specialist
666,27,3.45,Inspector
666,44,7.26,Electric Specialist
667,1,2.09,Electric Specialist
667,26,3.18,Electric Specialist
668,29,1.37,Lead Mechanic
669,37,3.95,Electric Specialist
669,27,4.99,Assistant Mechanic
670,38,3.55,Assistant Mechanic
670,42,2.2,Inspector
671,28,5.0,Assistant Mechanic
672,21,3.62,Assistant Mechanic
672,6,7.99,Inspector
672,23,3.83,Inspector
673,32,6.03,Assistant Mechanic
674,16,1.37,Electric Specialist
674,27,7.62,Electric Specialist
674,4,4.08,Lead Mechanic
675,14,6.1,Inspector
675,19,0.77,Inspector
676,45,5.54,Inspector
676,7,7.4,Lead Mechanic
676,28,5.21,Electric Specialist
677,33,6.85,Electric Specialist
678,36,3.32,Inspector
678,32,6.92,Electric Specialist
679,28,2.03,Electric Specialist
679,2,7.07,Assistant Mechanic
680,11,4.53,Electric Specialist
680,19,3.54,Assistant Mechanic
680,9,4.24,Assistant Mechanic
681,30,2.18,Electric Specialist
682,22,3.93,Lead Mechanic
682,28,3.33,Lead Mechanic
682,27,7.49,Assistant Mechanic
683,44,6.18,Assistant Mechanic
683,32,3.6,Electric Specialist
684,5,3.95,Electric Specialist
684,17,3.58,Electric Specialist
685,8,0.71,Assistant Mechanic
685,27,1.68,Lead Mechanic
685,17,7.6,Assistant Mechanic
686,17,6.96,Inspector
687,29,2.5,Inspector
687,12,4.96,Lead Mechanic
688,28,4.54,Assistant Mechanic
688,18,3.67,Inspector
689,41,4.84,Inspector
689,5,7.39,Electric Specialist
689,2,4.35,Lead Mechanic
690,16,5.28,Lead Mechanic
690,14,4.18,Lead Mechanic
690,34,2.16,Assistant Mechanic
691,8,6.23,Electric Specialist
691,23,0.57,Assistant Mechanic
691,26,6.69,Lead Mechanic
692,22,4.52,Electric Specialist
692,6,0.93,Electric Specialist
692,39,5.67,Inspector
693,36,3.63,Lead Mechanic
693,39,0.98,Assistant Mechanic
693,24,0.6,Electric Specialist
694,34,2.1,Lead Mechanic
694,25,7.5,Lead Mechanic
695,18,7.49,Lead Mechanic
695,7,3.47,Lead Mechanic
696,1,3.48,Inspector
697,34,1.95,Electric Specialist
697,23,1.16,Lead Mechanic
698,33,4.36,Lead Mechanic
698,2,2.86,Electric Specialist
699,44,4.42,Electric Specialist
699,38,3.2,Inspector
700,4,6.22,Assistant Mechanic
700,11,4.26,Lead Mechanic
700,20,6.7,Assistant Mechanic
701,37,2.22,Inspector
701,45,6.17,Inspector
702,18,7.29,Lead Mechanic
702,22,3.06,Electric Specialist
702,35,7.3,Assistant Mechanic
703,4,6.1,Inspector
703,8,1.49,Lead Mechanic
703,38,6.25,Inspector
704,29,1.78,Inspector
704,41,3.26,Electric Specialist
704,34,3.68,Electric Specialist
705,4,3.19,Assistant Mechanic
706,6,6.73,Electric Specialist
706,27,2.21,Lead Mechanic
706,13,7.8,Assistant Mechanic
707,13,7.95,Inspector
708,36,2.37,Inspector
708,41,3.86,Lead Mechanic
709,22,5.57,Assistant Mechanic
710,14,7.96,Electric Specialist
710,8,1.65,Assistant Mechanic
711,21,3.54,Lead Mechanic
712,17,6.61,Assistant Mechanic
713,29,6.31,Assistant Mechanic
713,6,0.62,Inspector
714,20,1.47,Lead Mechanic
714,40,2.14,Electric Specialist
715,25,4.28,Electric Specialist
716,43,5.48,Electric Specialist
717,10,7.87,Inspector
718,20,2.96,Assistant Mechanic
718,45,7.18,Lead Mechanic
719,26,4.88,Lead Mechanic
719,41,4.08,Lead Mechanic
720,37,4.62,Electric Specialist
720,25,3.99,Inspector
720,3,2.21,Inspector
721,15,7.65,Electric Specialist
721,18,7.4,Electric Specialist
721,24,5.76,Lead Mechanic
722,42,2.05,Electric Specialist
722,28,0.64,Lead Mechanic
723,45,5.54,Assistant Mechanic
724,11,1.85,Lead Mechanic
724,14,2.21,Electric Specialist
724,5,4.23,Electric Specialist
725,19,7.99,Lead Mechanic
725,29,4.57,Electric Specialist
725,15,4.96,Lead Mechanic
726,22,0.71,Inspector
727,3,3.5,Inspector
728,34,1.52,Inspector
728,1,6.6,Lead Mechanic
728,18,5.21,Electric Specialist
729,36,1.7,Lead Mechanic
729,15,7.08,Assistant Mechanic
729,38,5.25,Electric Specialist
730,23,2.25,Inspector
730,34,3.4,Electric Specialist
730,29,3.71,Electric Specialist
731,9,0.91,Lead Mechanic
731,40,6.05,Assistant Mechanic
731,14,4.04,Assistant Mechanic
732,29,6.85,Inspector
732,32,2.24,Inspector
732,19,0.63,Assistant Mechanic
733,44,0.73,Inspector
733,29,7.25,Inspector
734,17,4.69,Inspector
734,11,5.25,Electric Specialist
735,17,0.85,Inspector
735,12,2.25,Lead Mechanic
735,7,3.11,Inspector
736,30,5.96,Assistant Mechanic
736,38,0.55,Lead Mechanic
736,42,4.41,Electric Specialist
737,35,0.71,Electric Specialist
738,46,8.0,Assistant Mechanic
738,15,5.45,Inspector
739,29,6.38,Lead Mechanic
739,28,6.96,Inspector
740,31,0.8,Assistant Mechanic
741,27,6.02,Inspector
741,22,5.24,Assistant Mechanic
741,19,6.37,Lead Mechanic
742,24,2.23,Electric Specialist
742,14,6.43,Lead Mechanic
742,27,7.52,Electric Specialist
743,33,2.43,Electric Specialist
743,3,5.39,Lead Mechanic
744,41,6.52,Inspector
744,44,2.38,Assistant Mechanic
745,11,1.9,Inspector
745,24,4.85,Inspector
745,33,4.6,Electric Specialist
746,21,1.8,Assistant Mechanic
746,37,1.23,Lead Mechanic
747,34,3.42,Electric Specialist
747,31,6.56,Inspector
748,5,7.5,Lead Mechanic
748,36,3.38,Electric Specialist
749,17,1.28,Electric Specialist
750,44,7.74,Lead Mechanic
750,29,0.72,Electric Specialist
750,20,3.59,Assistant Mechanic
751,12,3.67,Lead Mechanic
751,18,1.85,Inspector
752,44,4.57,Electric Specialist
752,41,3.03,Assistant Mechanic
752,32,3.01,Electric Specialist
753,26,7.26,Electric Specialist
753,30,6.79,Lead Mechanic
754,10,6.99,Lead Mechanic
755,44,2.58,Electric Specialist
755,46,1.12,Inspector
755,11,4.12,Inspector
756,45,1.26,Inspector
756,46,1.0,Electric Specialist
757,14,4.11,Electric Specialist
757,45,7.56,Lead Mechanic
757,11,4.33,Assistant Mechanic
758,8,3.3,Electric Specialist
758,2,0.58,Assistant Mechanic
759,15,5.68,Lead Mechanic
760,29,7.95,Assistant Mechanic
760,46,7.43,Assistant Mechanic
761,18,1.93,Electric Specialist
762,35,5.89,Lead Mechanic
762,46,3.7,Inspector
763,25,7.56,Inspector
763,40,1.03,Inspector
763,29,5.52,Electric Specialist
764,30,3.38,Lead Mechanic
764,8,5.66,Assistant Mechanic
765,4,1.57,Electric Specialist
765,39,4.34,Electric Specialist
765,26,7.1,Lead Mechanic
766,34,6.1,Lead Mechanic
767,11,5.65,Inspector
767,36,6.3,Inspector
767,15,0.77,Assistant Mechanic
768,42,6.66,Assistant Mechanic
768,46,3.0,Electric Specialist
769,41,3.31,Inspector
769,14,0.96,Inspector
770,19,2.75,Inspector
770,11,5.21,Assistant Mechanic
770,1,4.28,Electric Specialist
771,43,3.75,Inspector
771,22,2.21,Electric Specialist
772,36,1.07,Inspector
772,34,7.99,Assistant Mechanic
773,9,6.62,Assistant Mechanic
773,44,6.07,Assistant Mechanic
773,20,4.16,Assistant Mechanic
774,26,5.44,Lead Mechanic
775,7,2.74,Inspector
775,39,4.72,Lead Mechanic
775,41,6.26,Assistant Mechanic
776,34,2.72,Electric Specialist
777,23,5.08,Lead Mechanic
778,9,4.07,Electric Specialist
778,6,6.63,Inspector
778,21,5.79,Assistant Mechanic
779,28,0.59,Inspector
779,6,1.61,Electric Specialist
779,11,0.71,Lead Mechanic
780,4,7.92,Electric Specialist
780,25,7.98,Inspector
780,11,1.64,Lead Mechanic
781,43,3.15,Assistant Mechanic
781,9,2.39,Assistant Mechanic
781,10,3.96,Assistant Mechanic
782,10,3.64,Inspector
782,3,2.45,Electric Specialist
782,28,7.11,Electric Specialist
783,4,3.8,Lead Mechanic
783,13,3.8,Lead Mechanic
784,37,7.29,Inspector
785,24,2.25,Assistant Mechanic
785,31,7.88,Electric Specialist
785,23,4.67,Assistant Mechanic
786,6,4.07,Lead Mechanic
786,7,6.82,Inspector
787,42,1.3,Lead Mechanic
787,26,5.88,Electric Specialist
787,40,6.81,Lead Mechanic
788,36,7.37,Lead Mechanic
788,32,3.2,Lead Mechanic
788,22,4.46,Electric Specialist
789,16,5.02,Electric Specialist
790,18,5.36,Lead Mechanic
790,4,4.81,Electric Specialist
790,33,1.09,Electric Specialist
791,7,0.57,Lead Mechanic
792,17,7.28,Lead Mechanic
793,19,5.42,Electric Specialist
793,3,4.37,Lead Mechanic
793,28,6.57,Assistant Mechanic
794,1,7.5,Lead Mechanic
794,35,7.45,Inspector
795,14,1.12,Assistant Mechanic
795,38,6.43,Electric Specialist
796,19,4.03,Assistant Mechanic
796,12,3.85,Electric Specialist
796,14,1.53,Assistant Mechanic
797,18,4.04,Lead Mechanic
798,26,5.64,Inspector
799,46,7.3,Assistant Mechanic
799,45,7.99,Assistant Mechanic
800,25,1.72,Assistant Mechanic
800,38,3.41,Lead Mechanic
801,15,2.67,Lead Mechanic
802,46,6.64,Electric Specialist
802,33,2.22,Assistant Mechanic
803,38,8.0,Lead Mechanic
803,33,1.11,Lead Mechanic
803,26,2.02,Electric Specialist
804,34,1.94,Lead Mechanic
804,35,1.94,Inspector
804,22,7.45,Assistant Mechanic
805,28,7.31,Inspector
805,16,3.85,Assistant Mechanic
805,32,2.73,Lead Mechanic
806,34,1.35,Assistant Mechanic
806,32,2.1,Lead Mechanic
806,35,6.41,Assistant Mechanic
807,9,4.65,Assistant Mechanic
808,15,5.78,Electric Specialist
808,40,2.9,Lead Mechanic
808,12,6.32,Electric Specialist
809,24,7.42,Inspector
810,2,5.67,Electric Specialist
810,22,2.92,Assistant Mechanic
811,19,7.85,Assistant Mechanic
812,40,6.59,Lead Mechanic
812,3,6.47,Assistant Mechanic
813,42,5.11,Lead Mechanic
813,20,2.58,Lead Mechanic
813,38,0.59,Electric Specialist
814,31,6.64,Electric Specialist
815,37,6.13,Assistant Mechanic
815,27,5.66,Lead Mechanic
815,32,0.5,Inspector
816,22,5.05,Assistant Mechanic
816,32,4.22,Inspector
817,30,2.11,Assistant Mechanic
818,26,6.87,Inspector
819,29,1.6,Inspector
820,37,5.93,Lead Mechanic
820,31,1.73,Assistant Mechanic
821,38,7.52,Inspector
821,21,5.37,Assistant Mechanic
822,39,7.43,Lead Mechanic
822,11,0.95,Lead Mechanic
823,23,5.89,Inspector
824,20,6.08,Lead Mechanic
825,39,4.13,Lead Mechanic
826,37,4.31,Electric Specialist
826,23,0.67,Electric Specialist
826,16,5.48,Lead Mechanic
827,14,7.93,Electric Specialist
828,36,3.44,Electric Specialist
828,37,4.68,Assistant Mechanic
829,15,3.35,Assistant Mechanic
829,32,2.47,Lead Mechanic
830,22,5.9,Assistant Mechanic
831,35,7.31,Inspector
832,20,2.64,Lead Mechanic
832,32,2.96,Inspector
832,39,6.38,Inspector
833,18,3.57,Lead Mechanic
833,39,2.32,Inspector
833,1,3.65,Assistant Mechanic
834,1,1.07,Inspector
834,25,0.8,Lead Mechanic
835,7,5.22,Assistant Mechanic
835,40,3.81,Lead Mechanic
836,31,0.55,Inspector
836,17,4.05,Electric Specialist
837,43,1.06,Lead Mechanic
837,14,3.22,Inspector
838,5,2.74,Assistant Mechanic
838,27,5.67,Assistant Mechanic
839,35,6.83,Electric Specialist
839,16,7.75,Lead Mechanic
839,25,4.95,Inspector
840,36,4.61,Assistant Mechanic
841,44,5.98,Electric Specialist
841,46,7.46,Electric Specialist
841,32,6.67,Assistant Mechanic
842,44,3.79,Inspector
843,36,6.7,Lead Mechanic
843,27,3.35,Inspector
844,13,6.77,Lead Mechanic
845,40,1.73,Electric Specialist
845,14,2.69,Assistant Mechanic
845,11,0.66,Electric Specialist
846,12,7.8,Assistant Mechanic
846,40,3.63,Lead Mechanic
847,41,1.12,Lead Mechanic
847,20,1.86,Assistant Mechanic
847,46,4.98,Assistant Mechanic
848,33,1.82,Inspector
848,44,6.18,Assistant Mechanic
848,1,6.75,Lead Mechanic
849,5,3.1,Assistant Mechanic
850,28,2.87,Lead Mechanic
851,29,4.86,Assistant Mechanic
851,30,3.09,Assistant Mechanic
851,12,3.68,Electric Specialist
852,7,0.63,Assistant Mechanic
852,9,1.61,Inspector
852,15,1.54,Lead Mechanic
853,5,5.26,Lead Mechanic
854,16,7.38,Electric Specialist
855,34,4.45,Lead Mechanic
856,41,1.56,Lead Mechanic
857,17,5.19,Electric Specialist
858,9,0.95,Lead Mechanic
858,7,3.82,Inspector
859,12,5.94,Lead Mechanic
859,4,0.76,Lead Mechanic
860,39,5.21,Electric Specialist
861,21,4.28,Inspector
862,8,0.97,Inspector
862,6,0.67,Inspector
862,45,1.3,Assistant Mechanic
863,22,1.35,Assistant Mechanic
863,4,7.29,Electric Specialist
863,5,6.33,Inspector
864,34,1.86,Electric Specialist
865,13,4.75,Electric Specialist
866,36,0.56,Lead Mechanic
867,39,4.2,Lead Mechanic
867,16,5.0,Lead Mechanic
868,24,2.77,Inspector
868,8,3.36,Lead Mechanic
869,21,0.98,Inspector
869,27,4.67,Inspector
870,16,0.99,Assistant Mechanic
870,22,4.01,Assistant Mechanic
870,39,7.7,Assistant Mechanic
871,31,7.85,Lead Mechanic
871,40,3.15,Assistant Mechanic
872,13,4.07,Lead Mechanic
872,43,6.54,Lead Mechanic
872,20,7.2,Assistant Mechanic
873,27,7.39,Electric Specialist
873,13,7.48,Inspector
874,41,7.52,Inspector
875,22,1.05,Inspector
875,33,3.13,Electric Specialist
875,36,1.14,Lead Mechanic
876,29,4.04,Electric Specialist
